ticker,earnings
AAPL,"Jan 30, 2025"
ABNB,"Feb 11, 2025"
AMZN,"Jan 30, 2025"
ANET,"Feb 10, 2025"
ASML,"Jan 29, 2025"
AXON,"Feb 25, 2025"
AZO,"Dec 10, 2024"
BAC,"Jan 16, 2025"
BRK-B,"Feb 24, 2025"
BWXT,"Feb 25, 2025"
CDNS,"Feb 10, 2025"
CELH,"Feb 26, 2025"
CFLT,"Feb 5, 2025"
CHWY,"Dec 4, 2024"
CLBT,"Feb 10, 2025"
CMG,"Feb 4, 2025"
COST,"Dec 12, 2024"
CRWD,"Nov 26, 2024"
DAR,"Feb 25, 2025"
DASH,"Feb 13, 2025"
DDOG,"Feb 11, 2025"
DHI,"Jan 21, 2025"
EBAY,"Feb 25, 2025"
EGP,"Feb 5, 2025"
ELF,"Feb 4, 2025"
EME,"Feb 26, 2025"
EPR,"Feb 26, 2025"
EQT,"Feb 11, 2025"
ESRT,"Feb 18, 2025"
FTNT,"Feb 4, 2025"
GLD,"Dec 31, 2099"
GM,"Jan 28, 2025"
GOOG,"Jan 28, 2025"
GOOGL,"Jan 28, 2025"
GRMN,"Feb 19, 2025"
INTU,"Feb 20, 2025"
IRM,"Feb 20, 2025"
ISRG,"Jan 21, 2025"
JNJ,"Jan 22, 2025"
JPM,"Jan 15, 2025"
KNSL,"Feb 13, 2025"
KO,"Feb 5, 2025"
LOW,"Feb 26, 2025"
LULU,"Dec 5, 2024"
MA,"Jan 29, 2025"
MELI,"Feb 20, 2025"
MNDY,"Nov 11, 2024"
MNST,"Feb 26, 2025"
MSFT,"Jan 28, 2025"
NVDA,"Feb 26, 2025"
NVO,"Feb 5, 2025"
O,"Feb 18, 2025"
ODFL,"Jan 29, 2025"
ONON,"Nov 12, 2024"
PGR,"Dec 13, 2024"
PINS,"Feb 6, 2025"
PLD,"Jan 15, 2025"
PSX,"Jan 29, 2025"
PYPL,"Feb 5, 2025"
QQQ,"Dec 31, 2099"
RBLX,"Feb 5, 2025"
RDFN,"Feb 25, 2025"
RHP,"Feb 20, 2025"
RPM,"Jan 2, 2025"
SHOP,"Feb 11, 2025"
SNOW,"Feb 26, 2025"
SPG,"Feb 3, 2025"
SPY,"Dec 31, 2099"
TEAM,"Oct 31, 2024"
TLT,"Dec 31, 2099"
TMDX,"Feb 24, 2025"
TOST,"Feb 10, 2025"
TPL,"Feb 19, 2025"
TQQQ,"Dec 31, 2099"
TSLA,"Jan 24, 2025"
TTD,"Feb 13, 2025"
U,"Feb 24, 2025"
UNH,"Jan 10, 2025"
V,"Jan 23, 2025"
VEEV,"Dec 5, 2024"
VICI,"Feb 20, 2025"
VRTX,"Feb 3, 2025"
WMT,"Feb 20, 2025"
WSO,"Feb 11, 2025"
ZM,"Feb 24, 2025"
LMT,"Jan 21, 2025"
DFH,"Feb 26, 2025"
